iter	Logloss
0	0.6914011903
1	0.6901312323
2	0.6889065194
3	0.6877452464
4	0.6865726767
5	0.6854598728
6	0.6845353231
7	0.6837885699
8	0.6826770407
9	0.6813931882
10	0.6803686122
11	0.6789433659
12	0.6778667143
13	0.6769578451
14	0.6758360551
15	0.6747906362
16	0.6736251775
17	0.6726751076
18	0.671835653
19	0.6707359763
20	0.6695623227
21	0.6687261724
22	0.6681553365
23	0.6671245314
24	0.666048228
25	0.6650324218
26	0.6644493049
27	0.6633556838
28	0.6627876734
29	0.6622338743
30	0.6616673308
31	0.6609529458
32	0.6599797136
33	0.6595002977
34	0.6588499839
35	0.6579917853
36	0.6575213226
37	0.6566125762
38	0.6562135392
39	0.6557368987
40	0.6548783374
41	0.6541319788
42	0.6534610302
43	0.6527045034
44	0.6523021972
45	0.6513722674
46	0.6509813499
47	0.6504063415
48	0.6495667531
49	0.648733501
50	0.6480945584
51	0.6473065302
52	0.6466732103
53	0.6462642771
54	0.6454831111
55	0.64458148
56	0.6435572829
57	0.643061833
58	0.6425732272
59	0.6418150544
60	0.6407564156
61	0.6401469524
62	0.6397058098
63	0.639323688
64	0.6387857399
65	0.6379776756
66	0.6368240656
67	0.6364549306
68	0.6358460887
69	0.6351356698
70	0.6345888311
71	0.633711994
72	0.633232412
73	0.6326348078
74	0.632039949
75	0.6311138562
76	0.6307645916
77	0.6304257027
78	0.6298696357
79	0.6293091056
80	0.6284864787
81	0.6280471929
82	0.62719933
83	0.6267079342
84	0.6262942819
85	0.6256917042
86	0.6251565657
87	0.6244989362
88	0.6241107292
89	0.6235797106
90	0.6228046633
91	0.6224866903
92	0.6220538244
93	0.621203273
94	0.6207123361
95	0.6198590848
96	0.6194827311
97	0.6189412504
98	0.6182465548
99	0.617747103
100	0.6170837593
101	0.6162794674
102	0.6157275002
103	0.6152574019
104	0.6147592027
105	0.6144545012
106	0.6140904181
107	0.6134758322
108	0.6130899764
109	0.6126299554
110	0.6119352986
111	0.6113227815
112	0.6106348916
113	0.6101320528
114	0.609621486
115	0.6090053151
116	0.6083385157
117	0.6075263124
118	0.6070085986
119	0.6063903459
120	0.606007639
121	0.6057235891
122	0.6053689941
123	0.6049814933
124	0.6045937326
125	0.6041213439
126	0.6034186701
127	0.6027068253
128	0.6020183118
129	0.6016028983
130	0.6013245711
131	0.6008988052
132	0.6004799975
133	0.5998692831
134	0.5992076731
135	0.5988014788
136	0.5984592357
137	0.597906015
138	0.597274286
139	0.5967248968
140	0.596273733
141	0.5959723331
142	0.5953742386
143	0.5948297078
144	0.5945739973
145	0.5943154743
146	0.5940346466
147	0.5937198053
148	0.5932607983
149	0.5928507343
150	0.5923382097
151	0.5919368782
152	0.5914562462
153	0.5908774709
154	0.590322339
155	0.5900205951
156	0.5897227293
157	0.5893827381
158	0.58902896
159	0.5884242814
160	0.5881047145
161	0.5877306186
162	0.5873081395
163	0.5866488029
164	0.5861045
165	0.5858767021
166	0.5851532098
167	0.5848297143
168	0.584235246
169	0.5836989353
170	0.583122194
171	0.5826193359
172	0.5822853054
173	0.5817010299
174	0.5813977791
175	0.5812723311
176	0.5808848626
177	0.5804055639
178	0.5800297936
179	0.5797892528
180	0.5794356905
181	0.5788696503
182	0.5784776931
183	0.5780450432
184	0.5777161507
185	0.5772068256
186	0.5766976892
187	0.5763802914
188	0.5759524443
189	0.5752917138
190	0.5749283935
191	0.5745640001
192	0.5743519077
193	0.5739062494
194	0.5735864026
195	0.5730220111
196	0.5726822939
197	0.5724581138
198	0.572017413
199	0.5717414654
200	0.5714637899
201	0.5709287718
202	0.5705885593
203	0.5699272029
204	0.5696037751
205	0.5693610195
206	0.5690153592
207	0.568634902
208	0.5682676996
209	0.5678763444
210	0.567420009
211	0.5667943032
212	0.566290783
213	0.5659351266
214	0.565385123
215	0.5650722596
216	0.5646913827
217	0.5643125217
218	0.5639939123
219	0.5636419203
220	0.5633240437
221	0.5628690522
222	0.5624778825
223	0.5620401816
224	0.5617180748
225	0.5612288546
226	0.5609358669
227	0.5605901019
228	0.5603590264
229	0.5601397217
230	0.5597504042
231	0.559583422
232	0.5592894303
233	0.5589232553
234	0.5587203517
235	0.5581014096
236	0.557783314
237	0.5574410509
238	0.5571467291
239	0.5568875667
240	0.5565597426
241	0.5562266451
242	0.5558041099
243	0.5555213477
244	0.5550981782
245	0.554812492
246	0.5544318111
247	0.5541996099
248	0.5538527941
249	0.553579176
250	0.5532492854
251	0.5528639722
252	0.5525352106
253	0.5523040282
254	0.5518654859
255	0.5516276497
