iter	Passed	Remaining
0	10	10234
1	16	8407
2	22	7435
3	26	6504
4	29	5851
5	33	5512
6	36	5197
7	40	5022
8	44	4865
9	48	4753
10	52	4736
11	56	4689
12	62	4725
13	67	4718
14	79	5189
15	87	5387
16	96	5551
17	109	5969
18	121	6276
19	128	6307
20	135	6301
21	141	6289
22	150	6381
23	159	6489
24	170	6659
25	176	6608
26	186	6710
27	194	6754
28	200	6697
29	216	7016
30	223	6989
31	230	6971
32	235	6908
33	245	6979
34	265	7330
35	291	7817
36	312	8126
37	336	8510
38	342	8437
39	354	8507
40	369	8653
41	380	8676
42	389	8657
43	403	8770
44	428	9093
45	436	9051
46	448	9087
47	456	9049
48	479	9315
49	489	9295
50	497	9257
51	514	9374
52	526	9405
53	539	9445
54	548	9427
55	573	9660
56	588	9737
57	593	9634
58	599	9567
59	614	9622
60	627	9661
61	632	9575
62	646	9608
63	650	9513
64	662	9533
65	668	9454
66	685	9541
67	693	9511
68	710	9579
69	718	9541
70	724	9477
71	732	9438
72	741	9420
73	751	9403
74	758	9349
75	765	9305
76	770	9236
77	776	9176
78	782	9124
79	788	9064
80	792	8990
81	797	8931
82	803	8872
83	811	8847
84	818	8816
85	827	8792
86	836	8778
87	843	8743
88	853	8734
89	859	8687
90	867	8667
91	872	8609
92	885	8637
93	891	8591
94	896	8537
95	901	8488
96	910	8475
97	919	8459
98	924	8410
99	934	8406
100	942	8386
101	949	8363
102	958	8345
103	963	8304
104	967	8247
105	974	8220
106	980	8185
107	988	8162
108	998	8159
109	1003	8118
110	1016	8142
111	1030	8166
112	1041	8176
113	1048	8147
114	1059	8150
115	1065	8119
116	1074	8105
117	1083	8100
118	1092	8091
119	1098	8052
120	1103	8019
121	1110	7992
122	1116	7957
123	1121	7919
124	1126	7883
125	1131	7852
126	1135	7806
127	1143	7786
128	1147	7748
129	1151	7705
130	1159	7688
131	1164	7655
132	1169	7622
133	1177	7609
134	1182	7578
135	1187	7546
136	1192	7509
137	1198	7488
138	1205	7464
139	1209	7426
140	1216	7413
141	1223	7394
142	1232	7384
143	1237	7358
144	1244	7339
145	1254	7337
146	1263	7330
147	1271	7317
148	1276	7288
149	1281	7259
150	1286	7232
151	1291	7207
152	1297	7183
153	1301	7147
154	1306	7123
155	1312	7103
156	1316	7070
157	1324	7056
158	1329	7032
159	1333	6998
160	1341	6988
161	1344	6955
162	1348	6926
163	1354	6905
164	1360	6882
165	1365	6858
166	1369	6828
167	1374	6808
168	1383	6801
169	1394	6810
170	1399	6783
171	1405	6768
172	1433	6852
173	1440	6837
174	1446	6820
175	1456	6820
176	1464	6807
177	1469	6788
178	1479	6786
179	1488	6780
180	1500	6790
181	1507	6774
182	1512	6753
183	1516	6723
184	1522	6708
185	1527	6684
186	1531	6659
187	1536	6637
188	1541	6615
189	1546	6593
190	1554	6583
191	1561	6569
192	1565	6546
193	1572	6532
194	1577	6510
195	1582	6490
196	1588	6474
197	1592	6451
198	1600	6441
199	1606	6426
200	1610	6401
201	1614	6378
202	1621	6365
203	1627	6349
204	1634	6337
